emp_id,name,primary_role,secondary_role,wage,status
1,Charin Sneller,Manager,Manager,4818.28,Full Time
2,Karna Topping,Kitchen,Kitchen,3910.96,Full Time
3,Lindon Kyncl,Service,Service,0,Part Time
4,Ruben Blasoni,Kitchen,Kitchen,2278.67,Full Time
5,Barret OFielly,Kitchen,Kitchen,0,Part Time
6,Devan Maddinon,Manager,Manager,4553.48,Full Time
7,Aurea Lademann,Kitchen,Service,0,Part Time
8,Isaiah Hair,Service,Service,0,Part Time
9,Sile Coppins,Service,Kitchen,0,Part Time
10,Casey Feige,Manager,Manager,4918.28,Full Time
11,Marybeth Molohan,Kitchen,Kitchen,0,Part Time
12,Maximilian Perford,Kitchen,Kitchen,3806.25,Full Time
13,Nanette Braidon,Kitchen,Service,0,Part Time
14,Alexandra Dix,Kitchen,Kitchen,4167.84,Full Time
15,Abram Lamputt,Service,Kitchen,0,Part Time
16,Ailene Winsper,Service,Kitchen,0,Part Time
17,Ingamar Warstall,Kitchen,Kitchen,0,Part Time
18,Oralee Scruby,Service,Kitchen,3652.23,Full Time
19,Malory Cruft,Kitchen,Service,3517.18,Full Time
20,Prentiss Guppy,Service,Kitchen,0,Part Time
21,Lev Glasscott,Service,Kitchen,0,Part Time
22,Reggie Showler,Kitchen,Kitchen,0,Part Time
23,Tamqrah Bogue,Kitchen,Service,0,Part Time
24,Gabi Jirzik,Kitchen,Service,0,Part Time
25,Towny Seage,Manager,Manager,4797.83,Full Time
26,Janeen Dinsey,Kitchen,Kitchen,2126.78,Full Time
27,Elston Hardway,Kitchen,Service,3790.72,Full Time
28,Uriah Stanes,Manager,Manager,4801.86,Full Time
29,Katya OBrogan,Kitchen,Kitchen,0,Part Time
30,Cicily Polsin,Kitchen,Service,3097.49,Full Time
31,Alicia Guppy,Service,Service,0,Part Time
32,Harman Morewood,Service,Service,1,Full Time
33,Matilde Burling,Service,Service,0,Part Time
34,Morgan Sparrow,Service,Service,1,Full Time
35,Graehme Madill,Service,Service,1,Full Time
36,Morley De Launde,Service,Service,0,Part Time
37,Marice Sturridge,Service,Service,1,Full Time
38,Glynda Rushmer,Service,Service,1,Full Time
39,Arch Heintz,Service,Service,1,Full Time
40,Daisie Bage,Service,Service,0,Part Time
